Horror Wiki Index,char index,actor,character,stripped character
778,0,Liev Schreiber,Robert Thorn,robert thorn
778,1,Julia Stiles,Katherine Thorn,katherine thorn
778,2,Seamus Davey-Fitzpatrick,Damien Thorn,damien thorn
778,3,Mia Farrow,Mrs. Baylock,mrs baylock
778,4,David Thewlis,Keith Jennings,keith jennings
778,5,Pete Postlethwaite,Father Brennan,father brennan
778,6,Michael Gambon,Bugenhagen,bugenhagen
778,7,Giovanni Lombardo Radice,Father Spiletto,father spiletto
89,0,Gregory Peck,Robert Thorn,robert thorn
89,1,David Warner,Keith Jennings,keith jennings
89,2,Lee Remick,Katherine Thorn,katherine thorn
89,3,Billie Whitelaw,Mrs Baylock,mrs baylock
89,4,Harvey Spencer Stephens,Damien Thorn,damien thorn
89,5,Patrick Troughton,Father Brennan,father brennan
89,6,Martin Benson,Father Spiletto,father spiletto
89,7,Leo McKern,Carl Bugenhagen,carl bugenhagen
89,8,Robert Rietti,Monk,monk
89,9,Tommy Duggan,Priest,priest
89,10,John Stride,The Psychiatrist,psychiatrist
89,11,Anthony Nicholls,Dr. Becker,dr becker
89,12,Holly Palance,Nanny,nanny
89,13,Roy Boyd,Reporter,reporter
89,14,Freda Dowie,Nun,nun
89,15,Sheila Raynor,Mrs Horton,mrs horton
89,16,Robert MacLeod,Horton,horton
89,17,Bruce Boa,Thorn's Aide 1,thorns aide 1
89,18,Don Fellows,Thorn's Aide 2,thorns aide 2
777,0,Liev Schreiber,Robert Thorn,robert thorn
777,1,Julia Stiles,Katherine Thorn,katherine thorn
777,2,Mia Farrow,Mrs. Baylock,mrs baylock
777,3,Seamus Davey-Fitzpatrick,Damien Thorn,damien thorn
777,4,David Thewlis,Keith Jennings,keith jennings
777,5,Pete Postlethwaite,Father Brennan,father brennan
777,6,Michael Gambon,Bugenhagen,bugenhagen
777,7,Giovanni Lombardo Radice,Father Spiletto,father spiletto
777,8,Harvey Spencer Stephens,who portrayed Damien in the original movie,who portrayed damien in original movie
207,0,Sam Neill,Damien Thorn,damien thorn
207,1,Lisa Harrow,Kate Reynolds,kate reynolds
207,2,Rossano Brazzi,Father DeCarlo,father decarlo
207,3,Don Gordon,Harvey Pleydell Dean,harvey pleydell dean
207,4,Barnaby Holm,Peter Reynolds,peter reynolds
207,5,Leueen Willoughby,Barbara Dean,barbara dean
207,6,Mason Adams,U.S. President,us president
207,7,Milos Kirek,Brother Martin,brother martin
207,8,Tommy Duggan,Brother Matteus,brother matteus
207,9,Louis Mahoney,Brother Paulo,brother paulo
207,10,Richard Oldfield,Brother Simeon,brother simeon
207,11,Tony Vogel,Brother Antonio,brother antonio
465,0,Faye Grant,Karen York,karen york
465,1,Michael Woods,Gene York,gene york
465,2,Michael Lerner,Earl Knight,earl knight
465,3,Asia Vieira,Delia York,delia york
465,4,Madison Mason,Dr. Hastings,dr hastings
465,5,Ann Hearn,Josephine Thueson,josephine thueson
465,6,Jim Byrnes,Noah,noah
465,7,Don S. Davis,Jake Madison,jake madison
252,0,Meg Tilly,Julie Wells,julie wells
252,1,Melissa Newman,Olivia McKenna,olivia mckenna
252,2,Robin Evans,Carol Mason,carol mason
252,3,Leslie Speights,Kitty,kitty
252,4,Donald Hotton,Dockstader,dockstader
252,5,E. G. Daily,Leslie Winslow,leslie winslow
252,6,David Mason Daniels,Steve,steve
252,7,Adam West,Allan McKenna,allan mckenna
252,8,Rhio H. Blair,Coroner,coroner
850,0,Shannyn Sossamon,Beth Raymond,beth raymond
850,1,Edward Burns,Jack Andrews,jack andrews
850,2,Ana Claudia Talancón,Taylor Anthony,taylor anthony
850,3,Ray Wise,Ted Summers,ted summers
850,4,Azura Skye,Leann Cole,leann cole
850,5,Johnny Lewis,Brian Sousa,brian sousa
850,6,Jason Beghe,Ray Purvis,ray purvis
850,7,Margaret Cho,Mickey Lee,mickey lee
850,8,Meagan Good,Shelley Baum,shelley baum
344,0,Cristina Marsillach,Betty,betty
344,1,Ian Charleson,Marco,marco
344,2,Urbano Barberini,Inspector Alan Santini,inspector alan santini
344,3,Daria Nicolodi,Mira,mira
344,4,Coralina Cataldi-Tassoni,Giulia,giulia
344,5,Antonella Vitale,Marion,marion
344,6,William McNamara,Stefano,stefano
344,7,Barbara Cupisti,Signora Albertini,signora albertini
102,0,Richard Harris,Captain Nolan,captain nolan
102,1,Charlotte Rampling,Rachel Bedford,rachel bedford
102,2,Will Sampson,Umilak,umilak
102,3,Bo Derek,Annie,annie
102,4,Keenan Wynn,Novak,novak
102,5,Robert Carradine,Ken,ken
102,6,Peter Hooten,Paul,paul
102,7,Scott Walker,Al Swain,al swain
102,8,"Don ""Red"" Barry",Dock Worker,dock worker
102,9,Yaka and Nepo,Orca,orca
891,0,Vera Farmiga,"Katherine ""Kate"" Coleman.",katherine kate coleman
891,1,Peter Sarsgaard,John Coleman.,john coleman
891,2,Isabelle Fuhrman,Esther Coleman/Leena Klammer.,esther coleman leena klammer
891,3,C. C. H. Pounder,Sister Abigail.,sister abigail
891,4,Jimmy Bennett,Daniel Coleman.,daniel coleman
891,5,Aryana Engineer,"Maxine ""Max"" Coleman.",maxine max coleman
891,6,Margo Martindale,Dr. Browning.,dr browning
891,7,Karel Roden,Dr. Värava.,dr värava
891,8,Rosemary Dunsmore,Grandma Barbara.,grandma barbara
891,9,Genelle Williams,Sister Judith.,sister judith
1058,0,Douglas Smith,Pete,pete
1058,1,Olivia Cooke,Laine Morris,laine morris
1058,2,Daren Kagasoff,Trevor,trevor
1058,3,Matthew Settle,Anthony Morris,anthony morris
1058,4,Ana Coto,Sarah Morris,sarah morris
1058,5,Bianca A. Santos,Isabelle,isabelle
1058,7,Shelley Hennig,Debbie,debbie
1058,8,Vivis Colombetti,Nona,nona
1058,9,Robyn Lively,Mrs. Galardi,mrs galardi
1058,10,Bill Watterson,Diner Manager,diner manager
1058,11,Sierra Heuermann,Doris Zander,doris zander
1113,0,Elizabeth Reaser,Alice Zander,alice zander
1113,1,Annalise Basso,"Paulina ""Lina"" Zander
Lin Shaye as Old Paulina Zander",paulina lina zander lin shaye as old paulina zander
1113,2,Lin Shaye,Old Paulina Zander,old paulina zander
1113,3,Lulu Wilson,Doris Zander,doris zander
1113,4,Henry Thomas,Father Tom Hogan,father tom hogan
1113,5,Parker Mack,"Michael ""Mikey"" Russell",michael mikey russell
1113,6,Halle Charlton,Ellie,ellie
1113,7,Alexis G. Zall,Betty,betty
1113,8,Doug Jones,Ghoul Marcus,ghoul marcus
1113,9,Kate Siegel,Jenny Browning,jenny browning
1113,10,Sam Anderson,Mr. Browning,mr browning
1113,11,Ele Keats,Ellie's Mom,ellies mom
1113,12,Nicholas Keenan,Walter,walter
1113,13,Michael Weaver,Roger Zander,roger zander
1179,0,Jovan Adepo,Boyce,boyce
1179,1,Jacob Anderson,Dawson,dawson
1179,2,Pilou Asbæk,Wafner,wafner
1179,3,Iain De Caestecker,Chase,chase
1179,4,John Magaro,Tibbet,tibbet
1179,5,Wyatt Russell,Ford,ford
1179,6,Bokeem Woodbine,Rensin,rensin
892,0,Dennis Quaid,Lieutenant Payton/Older Corporal Gallo,lieutenant payton older corporal gallo
892,1,Ben Foster,Corporal Bower,corporal bower
892,2,Cam Gigandet,Younger Corporal Gallo,younger corporal gallo
892,3,Antje Traue,Nadia,nadia
892,4,Cung Le,Manh,manh
892,5,Eddie Rouse,Leland,leland
892,6,André Hennicke,Hunter Leader,hunter leader
892,7,Norman Reedus,Shepard,shepard
892,8,Wotan Wilke Möhring,Young Bower's Father,young bowers father
892,9,Niels-Bruno Schmidt,Insane Officer Eden,insane officer eden
814,0,Katie Featherson,Katie,katie
814,1,Micah Sloat,Micah,micah
814,2,Mark Fredrichs,Dr. Fredrichs,dr fredrichs
814,3,Amber Armstrong,Amber,amber
921,0,Sprague Grayden,Kristi Rey,kristi rey
921,1,Brian Boland,Daniel Rey,daniel rey
921,2,Molly Ephraim,Ali Rey,ali rey
921,3,Katie Featherston,Katie,katie
921,4,Micah Sloat,Micah,micah
921,5,Seth Ginsberg,Brad,brad
921,6,Vivis Cortez,Martine,martine
921,7,Jackson Xenia Prieto,Hunter Rey,hunter rey
921,8,William Juan Prieto,Hunter Rey,hunter rey
1059,0,Kathryn Newton,Alex Nelson,alex nelson
1059,1,Matt Shively,Ben,ben
1059,2,Aiden Lovekamp,Wyatt Nelson / Hunter Rey,wyatt nelson hunter rey
1059,3,Brady Allen,Robbie,robbie
1059,4,Stephen Dunham,Doug Nelson,doug nelson
1059,5,Alexondra Lee,Holly Nelson,holly nelson
1059,6,Katie Featherston,Katie,katie
1059,7,Alisha Boe,Tara,tara
1060,0,Andrew Jacobs,Jesse,jesse
1060,1,Richard Cabral,Arturo,arturo
1060,2,Carlos Pratts,Oscar Hernandez,oscar hernandez
1060,3,Gabrielle Walsh,Marisol,marisol
1060,4,Jorge Diaz,Hector,hector
1060,5,Catherine Toribio,Penelope,penelope
1060,6,Noemi Gonzalez,Evette,evette
1060,7,Gigi Feshold,Natalie,natalie
1060,8,David Saucedo,Cesar Arista,cesar arista
1060,9,Julian Works,Pablo,pablo
1060,10,Molly Ephraim,Ali Rey,ali rey
1060,11,Katie Featherston,Adult Katie,adult katie
1060,12,Chloe Csengery,Young Katie,young katie
1060,13,Jessica Tyler Brown,Young Kristi,young kristi
1060,14,Micah Sloat,Micah,micah
1180,0,Matt Smith,Morgan,morgan
