Horror Wiki Index,char index,actor,character,stripped character,killed
361,14,Art LaFleur,"Pharmacist/Thomas ""Tom"" Penny",pharmacist thomas tom penny,False
361,15,Sharon Spelman,Debra Penny,debra penny,False
361,16,Billy Beck,Can Man,can man,True
361,17,Bill Moseley,Soldier #2,soldier 2,False
361,18,Erika Eleniak,"Victoria ""Vicki"" De Soto",victoria vicki de soto,False
361,19,Ricky Paull Goldin,"Prescott ""Scott"" Jeske",prescott scott jeske,False
361,20,Frank Collison,Hobbs,hobbs,True
361,21,Jack Rader,Colonel Hargis,colonel hargis,True
361,22,Clayton Landey,George Ruit,george ruit,False
361,23,Noble Craig,Puddle Soldier,puddle soldier,False
183,0,David Huffman,Harry Caulder,harry caulder,N/A
183,1,Marianna Hill,Catherine Hutton,catherine hutton,N/A
183,2,John Saxon,Captain Pearson,captain pearson,N/A
183,3,Burt Young,Sergeant Royko,sergeant royko,N/A
183,4,Otis Young,Lieutenant Piantadosi,lieutenant piantadosi,N/A
183,5,Stefan Gierasch,Dr. Dimitrios,dr dimitrios,N/A
183,6,Lena Pousette,Marie,marie,N/A
183,7,Darrell Fetty,Hoagy,hoagy,N/A
183,8,Eleanor Zee,Mrs. Selden,mrs selden,N/A
183,9,Pamela McMyler,Mrs. Hench,mrs hench,N/A
183,10,Harriet Medin,Ruth Hutton,ruth hutton,N/A
183,11,Mickey Fox,Moose,moose,N/A
328,0,Rick Burks,Michael Tutman,michael tutman,N/A
328,1,Carl Crew,George Tutman,george tutman,N/A
328,2,LaNette LaFrance,Sheba Jackson,sheba jackson,N/A
328,3,Roger Dauer,Mark Shepard,mark shepard,N/A
328,4,Lisa Guggenheim,Connie Stanton,connie stanton,N/A
328,5,Max Morris,Chief Miller,chief miller,N/A
328,6,Roxanne Cybelle,Little Michael,little michael,N/A
328,7,Sir Rodenheaver,Little George,little george,N/A
328,8,Drew Godderis,Anwar Namtut,anwar namtut,N/A
328,9,Tanya Papanicolas,Sheetar/Bitsy,sheetar bitsy,N/A
328,10,Michael Barton,Vitamin,vitamin,N/A
328,11,John Barton Shields,Little Jimmy Hitler,little jimmy hitler,N/A
328,12,Effie Bilbrey,Peggy,peggy,N/A
328,13,Karen Hazelwood,Babs,babs,N/A
328,14,Bob Loya,Stan Saldin,stan saldin,N/A
328,15,Alisa Alvarez-Wood,Aerobic Girl,aerobic girl,N/A
328,16,Al Davis,Blonde Dancer,blonde dancer,N/A
328,17,Gene Wells,Doctor,doctor,N/A
587,0,Jack Maturin,Virgil Travis,virgil travis,N/A
587,1,Debra Mayer,Moira Yulin,moira yulin,N/A
587,2,William Paul Burns,Mr. Mascaro,mr mascaro,N/A
587,3,Warren Draper,Harrison Yulin,harrison yulin,N/A
587,4,Nicholas Worth,George Warbeck,george warbeck,N/A
587,5,Jodie Coady,Mercy Shaw,mercy shaw,N/A
587,6,Phil Fondacaro,Hylas,hylas,N/A
587,7,Naomi McClure,Cindy Agami,cindy agami,N/A
587,8,Jack Forbes,Squires,squires,N/A
1165,0,Seychelle Gabriel,Sam,sam,N/A
1165,1,Robbie Kay,Dax,dax,N/A
1165,2,Jacob Batalon,Krill,krill,N/A
1165,3,Barbara Dunkelman,Ashley,ashley,N/A
1165,4,Chris Doubek,Roger Hinckley,roger hinckley,N/A
1165,5,Nick Rutherford,Lenjamin Cain,lenjamin cain,N/A
1165,6,Tate Donovan,Dr. Vaughn Conway,dr vaughn conway,N/A
55,0,Udo Kier,Count Dracula,count dracula,N/A
55,1,Joe Dallesandro,Mario Balato,mario balato,N/A
55,2,Vittorio De Sica,Il Marchese Di Fiore,il marchese di fiore,N/A
55,3,Maxime McKendry,La Marchesa Di Fiore,la marchesa di fiore,N/A
55,4,Arno Juerging,Anton,anton,N/A
55,5,Milena Vukotic,Esmeralda,esmeralda,N/A
55,6,Dominique Darel,Saphiria,saphiria,N/A
55,7,Stefania Casini,Rubinia,rubinia,N/A
55,8,Silvia Dionisio,Perla,perla,N/A
55,9,Roman Polański,Man in tavern,man in tavern,N/A
151,0,Charles McCrann,Charles Austin) - Tom Cole,charles austin tom cole,N/A
151,1,Beverly Shapiro,Polly Cole,polly cole,N/A
151,2,Dennis Helfend,Hermit,hermit,N/A
151,3,John Amplas,Phillips,phillips,N/A
184,0,Lori Lethin,Joyce Russel,joyce russel,N/A
184,1,Melinda Cordell,Mrs. Brody,mrs brody,N/A
184,2,Julie Brown,Beverly Brody,beverly brody,N/A
184,3,Joe Penny,Mr. Harding,mr harding,N/A
184,4,Bert Kramer,Sherriff James Brody,sherriff james brody,N/A
184,5,K.C. Martel,Timmy Russel,timmy russel,N/A
184,6,Elizabeth Hoy,Debbie Brody,debbie brody,N/A
184,7,Billy Jayne,Curtis Taylor,curtis taylor,N/A
184,8,Andrew Freeman,Steven Seton,steven seton,N/A
184,9,Susan Strasberg,Miss Viola Davis,miss viola davis,N/A
184,10,José Ferrer,Doctor,doctor,N/A
184,11,Ben Marley,Duke Benson,duke benson,N/A
184,12,Erica Hope,Annie Smith,annie smith,N/A
184,13,Ellen Geer,Madge,madge,N/A
612,0,Jessica Morris,Julie 'Jewels' McConnell,julie jewels mcconnell,N/A
612,1,Peter Guillemette,Patrick/Nelson Hammond,patrick nelson hammond,N/A
612,2,Patrick Cavanaugh,Tobe,tobe,N/A
612,3,Crystalle Ford,Drew Zemke/Patricia Zemke,drew zemke patricia zemke,N/A
612,4,Michael Stone,Dean,dean,N/A
612,5,Justin Ross Martin,Jason 'Jas' Hathaway,jason jas hathaway,N/A
612,6,Tracy Pacheco,Whitney 'Whit' Chambers,whitney whit chambers,N/A
612,7,Lindsey Leigh,Jamie,jamie,N/A
612,8,David Smigelski,Brad Thompson,brad thompson,N/A
612,9,William Winter,Doug,doug,N/A
612,10,Michael Prohaska,Sheriff Williams,sheriff williams,N/A
612,11,Jerry Richards,Tommy 'Tom' McConnell,tommy tom mcconnell,N/A
612,12,Bobby Stuart,Henry,henry,N/A
612,13,Brian Messing,Deputy Billy,deputy billy,N/A
612,14,Ricky Courtney,Paramedic,paramedic,N/A
668,0,Katy Woodruff,Tracy,tracy,N/A
668,1,Amanda Magarian,Sofie,sofie,N/A
668,2,Kelly Gunning,Mike,mike,N/A
668,3,Tiffany Shepis,Angela,angela,N/A
668,4,Raymond Novarro Smith,Elvis,elvis,N/A
668,5,Arthur Benjamin,Rick,rick,N/A
668,6,Tom Mullen,Ryan,ryan,N/A
668,7,Lane Anderson,James,james,N/A
668,8,Virginia Mendoza,Juanita,juanita,N/A
668,9,John Colton,Sheriff Miller,sheriff miller,N/A
668,10,Carl Strecker,Deputy Tim,deputy tim,N/A
668,11,Benjamin Schneider,Deputy Carver,deputy carver,N/A
668,12,Tyler Sedustine,Jason,jason,N/A
330,0,Steve Railsback,Detective Jim Bishop,detective jim bishop,N/A
330,1,Gwynyth Walsh,Dr. Rachel Carson,dr rachel carson,N/A
330,2,Susan Anspach,Dr. Judith Glass,dr judith glass,N/A
330,3,Don Lake,Dr. Elliot Jacobs,dr elliot jacobs,N/A
