Death List Index,Title,Death List URL
358,Jurassic City,/wiki/Jurassic_City
359,Jurassic Park,/wiki/Jurassic_Park
360,Just Before Dawn,/wiki/Just_Before_Dawn
361,Kavra Animations,/wiki/Kavra_Animations
362,"Kill, Baby... Kill!","/wiki/Kill,_Baby..._Kill!"
363,Killer Beach/The Sand,/wiki/Killer_Beach/The_Sand
364,Killer Kart,/wiki/Killer_Kart
365,Killer Klowns from Outerspace,/wiki/Killer_Klowns_from_Outerspace
366,Killer Mermaid,/wiki/Killer_Mermaid
367,Killer Movie,/wiki/Killer_Movie
368,Killer Piñata,/wiki/Killer_Pi%C3%B1ata
369,Killer Sofa,/wiki/Killer_Sofa
370,Killing Spree,/wiki/Killing_Spree
371,King Kong,/wiki/King_Kong
372,Klown Kamp Massacre,/wiki/Klown_Kamp_Massacre
373,Komodo,/wiki/Komodo
374,Komodo (1999),/wiki/Komodo_(1999)
375,Krampus,/wiki/Krampus
376,Laid To Rest,/wiki/Laid_To_Rest
377,Laika Studio Animations,/wiki/Laika_Studio_Animations
378,Lake Placid,/wiki/Lake_Placid
379,Las Vegas Bloodbath,/wiki/Las_Vegas_Bloodbath
380,Last Words of Victims,/wiki/Last_Words_of_Victims
381,Lee Hardcastle Claymations,/wiki/Lee_Hardcastle_Claymations
382,Leprechaun,/wiki/Leprechaun
383,Let Us Prey,/wiki/Let_Us_Prey
384,Let’s Scare Jessica To Death,/wiki/Let%E2%80%99s_Scare_Jessica_To_Death
385,Light Blast,/wiki/Light_Blast
386,Lights Out,/wiki/Lights_Out
387,List of deaths by decapitation,/wiki/List_of_deaths_by_decapitation
388,Little Monsters,/wiki/Little_Monsters
389,Little Shop of Horrors,/wiki/Little_Shop_of_Horrors
390,Lone Wolf,/wiki/Lone_Wolf
391,Look Away,/wiki/Look_Away
392,Lumberjack Man,/wiki/Lumberjack_Man
393,Ma,/wiki/Ma
394,Ma (2019),/wiki/Ma_(2019)
395,Magic,/wiki/Magic
396,Mandrake,/wiki/Mandrake
397,Mandy,/wiki/Mandy
398,Maniac,/wiki/Maniac
399,Maniac Cop,/wiki/Maniac_Cop
400,Mansquito,/wiki/Mansquito
401,Mars Attacks!,/wiki/Mars_Attacks!
402,Martin,/wiki/Martin
403,Massage Parlor of Death,/wiki/Massage_Parlor_of_Death
404,Maximum Overdrive,/wiki/Maximum_Overdrive
405,May,/wiki/May
406,Mayhem,/wiki/Mayhem
407,Megalodon 2002,/wiki/Megalodon_2002
408,Metamorphosis The Alien Factor,/wiki/Metamorphosis_The_Alien_Factor
409,Michael Myers: The Blackest Eyes,/wiki/Michael_Myers:_The_Blackest_Eyes
410,Michael vs Jason: Evil Emerges,/wiki/Michael_vs_Jason:_Evil_Emerges
411,Microwave Massacre,/wiki/Microwave_Massacre
412,Midsommar,/wiki/Midsommar
413,Mikey,/wiki/Mikey
414,Million Dollar Crocodile,/wiki/Million_Dollar_Crocodile
415,Mindhunters,/wiki/Mindhunters
416,Minotaur,/wiki/Minotaur
417,Mirrors,/wiki/Mirrors
418,Misery (1990),/wiki/Misery_(1990)
419,Mom and Dad,/wiki/Mom_and_Dad
420,Monster,/wiki/Monster
421,Monster House,/wiki/Monster_House
422,Monster Makers,/wiki/Monster_Makers
423,MonsterVerse,/wiki/MonsterVerse
424,Mordeo,/wiki/Mordeo
425,Most Likely to Die,/wiki/Most_Likely_to_Die
426,Motel Hell,/wiki/Motel_Hell
427,Mother's Day,/wiki/Mother%27s_Day
428,Mothman,/wiki/Mothman
429,Mountaintop Motel Massacre,/wiki/Mountaintop_Motel_Massacre
430,Ms .45,/wiki/Ms_.45
431,Murder Party,/wiki/Murder_Party
432,Murderock,/wiki/Murderock
433,Mutant Aliens,/wiki/Mutant_Aliens
434,My Bloody Valentine,/wiki/My_Bloody_Valentine
435,My Little Eye,/wiki/My_Little_Eye
436,My Soul to Take,/wiki/My_Soul_to_Take
437,Nail Gun Massacre,/wiki/Nail_Gun_Massacre
438,Neighbor,/wiki/Neighbor
439,Neil Gorsuch's Little Judicary Shop of Horrors,/wiki/Neil_Gorsuch%27s_Little_Judicary_Shop_of_Horrors
440,Never Hike Alone,/wiki/Never_Hike_Alone
441,New Year's Evil,/wiki/New_Year%27s_Evil
442,Next of Kin,/wiki/Next_of_Kin
443,Night of the Creeps,/wiki/Night_of_the_Creeps
444,Night of the Demons,/wiki/Night_of_the_Demons
445,Night of the Lepus,/wiki/Night_of_the_Lepus
446,Night of the Living Dead (1968),/wiki/Night_of_the_Living_Dead_(1968)
447,Nightmare,/wiki/Nightmare
448,Nobody Sleeps in the Woods Tonight,/wiki/Nobody_Sleeps_in_the_Woods_Tonight
449,Noroi: The Curse,/wiki/Noroi:_The_Curse
450,Nurse 3D,/wiki/Nurse_3D
451,Office,/wiki/Office
452,Office Killer,/wiki/Office_Killer
453,Ogre,/wiki/Ogre
454,One Missed Call (American),/wiki/One_Missed_Call_(American)
455,One Missed Call Trilogy,/wiki/One_Missed_Call_Trilogy
456,Opera,/wiki/Opera
457,Orca: The Killer Whale,/wiki/Orca:_The_Killer_Whale
458,Orgasmo,/wiki/Orgasmo
459,Orphan,/wiki/Orphan
