Movie Index,Title,Year,Plot,Director(s),Star(s),Stripped Title,Horror Wiki Index,Horror Wiki URL
4480,Rodney Cecil: Psycho Hero,2011.0,"Rodney Cecil was a small time drug dealer working in the tiny southern town of Carrboro, NC - until his boss tried to murder him and kidnap his girlfriend. Barely escaping with his life, he...                See full summary »",Jordy Dickens,"Scott Arnold, Nathan Boreiko, Tj Carr, Jordy Dickens",rodney cecil psycho hero,,
4481,Priest,2011.0,A priest disobeys church law to track down the vampires who kidnapped his niece.,Scott Stewart,"Paul Bettany, Cam Gigandet, Maggie Q, Karl Urban",priest,,
4482,The Craving,2011.0,"Leading a double life, Chef Ronnie spends her days as a charming celebrity chef who thrives and shines as owner of a trendy Spanish tapas restaurant in San Francisco, and spends her nights ...                See full summary »",Valerie R. Castro,"Mariel Ala Mode, Velocity Chyaldd, Anna Curtis, Natasha Estrada",craving,,
4483,Black Hills,2011.0,Add a Plot,Orundi Colvin,"Lindsay DeLuca, Anthony Augello, Delana Cochrane, Brendan Devane",black hills,,
4484,Deadheads,2011.0,"Two inexplicably coherent zombies awake amidst a zombie attack, and decide to take a road trip to find the one's lost love, unaware they are being chased by the agents of a ruthless company with its own agenda.","Drew T. Pierce, Brett Pierce","Michael McKiddy, Ross Kidder, Markus Taylor, Sebastian Galasso",deadheads,,
4485,The Locker,2011.0,"Emily is a typical 20-something with one glaring difference - for her, the line between reality and imagination has drastically begun to blur. Constant paranoia and a feeling of being ...                See full summary »",Robert Paschall Jr.,"Joey Greco, Natalie Dickinson, Craig Cole, Desirée Avalos",locker,,
4486,Megan Is Missing,2011.0,Two teenage girls encounter an Internet child predator.,Michael Goi,"Amber Perkins, Rachel Quinn, Dean Waite, Jael Elizabeth Steinmeyer",megan is missing,,
4487,BloodRayne: The Third Reich,2011.0,Rayne joins a resistence group to fight against the Nazis during world war two.,Uwe Boll,"Natassia Malthe, Brendan Fletcher, Michael Paré, Willam Belli",bloodrayne third reich,,
4488,Room 13,2011.0,"Years after killing himself in a school room, due to pervasive taunting, Johnny Grimes returns as a paranormal killer, who preys upon young teens whose parents had teased him as a child.",Hunter Goligoski,"Hunter Goligoski, Madissen Moreau, Avery Joyner, Tanner Goligoski",room 13,,
4489,Panman,2011.0,A demon chef murders culinary students one by bloody one.,"Dan Riesser, Brett Register, Andrew Genser, Jim Zaguroli, Tim Pilleri","G. Larry Butler, Tim Pilleri, Talia Tabin, Tina Molina",panman,,
4490,The Afflicted,2011.0,"A story of incomprehensible abuse delivered by an explosively violent mother of four. Journey through the mind of a child that experiences a living hell, defined and defended by the twisted religious beliefs of her mother.",Jason Stoddard,"Leslie Easterbrook, Kane Hodder, J.D. Hart, Michele Grey Hartsoe",afflicted,,
4491,The Watching,2011.0,"Garth, Harvery, and Jake, three young men curious about the mysteries of the universe, discover more than they bargained for when the ubiquitous Mr. Him, himself a slave of supernatural ...                See full summary »",Dane McCarthy,"Amy Abercrombie, Charlotte Agnene, Brooke Albrecht, Steven Antle",watching,,
4492,The Bailey Case,2011.0,"On October 31, 2008 the hit paranormal show ""Mysterious Hauntings"" held a contest at the infamous Bailey House. The rules were simple. Stay at the house for a week and win a grand prize. ...                See full summary »",Kelly Weaver,"Nick Alford, Adam Ben-Evi, Malcolm Boniface, Fernando Borrego",bailey case,,
4493,Rift,2011.0,"Several college students are brutally murdered in a small college town and the killer is still on the loose. In an attempt to seek the truth, a journalism student misguidedly finds herself ...                See full summary »",LazRael Lison,"Leslie Easterbrook, Richmond Arquette, Tom Wright, Darcy Fowers",rift,,
4494,Element {.245} Zombie,2011.0,After an experiment goes wrong a plague of the undead are released in a small town. The lead team of ZTP (Zombie Termination Patrol) officers meets with a grizzly fate and the veteran ...                See full synopsis »,Paul McConnell,"Sarah Kate Allsup, Robert Johnson, Jimmy Lee Kelley, Zach Kepple",element 245 zombie,,
4495,Silver Cell,2011.0,"A Wicked, Atmospheric journey into the dark depths of the human psyche...",William Victor Schotten,"Amanda Baker, Gregg Biamonte, Arthur Leo Collins, Ashley Gallo",silver cell,,
4496,Vamp U,2011.0,"Wayne Gretzky (no relation) is a vampire who can't grow his teeth. His impotence began when he inadvertently killed Mary Lipinsky, the love of his life, 300 years ago. To take his mind off ...                See full summary »","Maclain Nelson, Matt Jespersen","Adam Johnson, Julie Gonzalo, Gary Cole, Alexis Knapp",vamp u,,
4497,The Passing,2011.0,"The three Naibert children, in their teens and early twenties, inherit a vast estate from their grandmother Rebecca. But unknown to them, the family inheritance has passed from grandmother ...                See full summary »",John Harwood,"Crystal Day, Elizabeth Ann Bennett, Jason Hamer, Sam Upton",passing,,
4498,Killer School Girls from Outer Space,2011.0,"When a shooting star lands in Small Town USA, a teenage couple decide to check it out. They discover their shooting star is a flying saucer piloted by Killer School Girls from outer space on a mission to destroy the earth!",Alexander Shumake,"Donny Boaz, Derek Lee Nixon, Clem Beard, Julin",killer school girls from outer space,,
4499,Blackwater Farm,2011.0,"Laura Roberts vacations at 'Blackwater Farm' only to find herself trapped in a maze like abandoned mill with no hope for escape, save for her to become as brutal a killer as those who capture her.",Todd Norwood,"Elise Buedel, Michael Avellar, M.J.J. Cashman, Christine Dargon",blackwater farm,,
4500,Attack of the Moon Zombies,2011.0,"A mysterious plant found on the surface of the moon wreaks havoc on the Jackson Lunar Base when its spores change the base's crew into leafy, undead creatures.",Christopher R. Mihm,"Michael Cook, Shannon McDonough, Michael G. Kaiser, Sid Korpi",attack of moon zombies,,
4501,T.O.R.R. Dawn of the Red,2011.0,"A chauvinist Army Captain and a CIA Agent embark on a mission to prevent a Russian warlord from using a zombie virus to wipe out all his enemies. Little do they know, the package they must deliver could start World War III.",Robert Towne,"Sergio Delgado, Danny Fogle, Stephanie Frias, Jorge Gomez",t o r r dawn of red,,
4502,Don't Say Anything,2011.0,"Shaylee Kendall is not your typical teenager, although she is rebellious, boy-curious, addicted to texting and wants to be accepted by the popular clique, there is one major obstacle that ...                See full summary »",Robert Towne,,dont say anything,,
4503,Dracula: Consummation,2011.0,Van Helsing has gathered together a group to pursue the evil vampire Count Dracula. Their trust will be shaken and their faith put to the ultimate test as the battle between good and evil reaches its final consummation.,,,dracula consummation,,
4504,The Anniversary at Shallow Creek,2011.0,Six best friends find themselves at the wrong place at the wrong time. They fight for their lives against a serial killer who has more in store for them than death.,Jon D. Wagner,"Katharine Brandt, Anthony Campanello, Annie B. Compton, Eric Fischer",anniversary at shallow creek,,
4505,Midnight Abyss,2011.0,"Midnight Abyss is a psychological horror film that dwells into the horrors of our own imaginations and nightmares. We follow Tod (Andy Palmer), a regular teenager who appears normal on the ...                See full summary »",Stephen Wolfe,"Andy Palmer, Briannah Korin, Tracy Collins, Will Sheffield",midnight abyss,,
4506,Bloodrape,2011.0,Notorious underground all-girl vampXcore band Bloodrape sets out on a reunion tour to destroy everyone's flesh/feelings.,"Zach Shipko, Taeer Maymon, Tucker Bennett","Tucker Bennett, Brooke Candy, Chris Corrente, Alexis Hutt",bloodrape,,
4507,Backstabber,2011.0,"Employees attending an extreme team-building function for the weekend find new meaning in teamwork, thinking outside the box, and risk management as they fight for survival from a deranged killer bent on revenge.",Chuck Walker,"Lorenzo Lamas, Tammy Barr, Jared Doreck, David Kerr",backstabber,,
