Horror Wiki Index,char index,actor,character,stripped character,killed,actor url,race,gender
945,5,Arthur Corber,Dr. Arthur Friedkin,dr arthur friedkin,True,,Unlisted,Unlisted
945,6,Bob Rathie,Kenny Sandavol,kenny sandavol,False,,Unlisted,Unlisted
945,7,Matthew K. McBride,Spiritual Force,spiritual force,False,,Unlisted,Unlisted
945,8,Ben Wilkinson,Jerry Hartfield,jerry hartfield,False,,White,Male
945,9,Alex Timmer,The Tongueless Demon,tongueless demon,False,,Unlisted,Unlisted
945,10,Eva Gifford,Demon Girl,demon girl,False,,Unlisted,Unlisted
945,11,Michele Cummins,Bathtub Demon,bathtub demon,False,,Unlisted,Unlisted
945,12,Shawn Macdonald,Morgan Turner,morgan turner,False,,Unlisted,Unlisted
945,13,Fred Keating,Gary Crawford,gary crawford,False,,White,Male
945,14,Max Train,Punk Guy,punk guy,False,,Unlisted,Unlisted
945,15,Marita Eason,Punk Girl,punk girl,False,,Unlisted,Unlisted
981,0,Richard Harmon,Alex Wright,alex wright,False,,White,Male
981,1,Leanne Lapp,Jennifer Parker,jennifer parker,True,,Unlisted,Unlisted
981,2,Sean Rogerson,Sean Rogerson,sean rogerson,False,,Unlisted,Unlisted
981,3,Dylan Playfair,Trevor Thompson,trevor thompson,True,,Unlisted,Unlisted
981,4,Stephanie Bennett,Tessa Hamill,tessa hamill,False,,Unlisted,Unlisted
981,5,Howard Lai,Jared Lee,jared lee,True,,Unlisted,Unlisted
981,6,Sean Tyson,the guard stationed at the hospital.,guard stationed at hospital,False,,White,Male
981,7,Ben Wilkinson,Jerry Hartfield,jerry hartfield,False,,White,Male
981,8,Arthur Corber,Dr. Arthur Friedkin,dr arthur friedkin,False,,Unlisted,Unlisted
981,9,Brenda McDonald,Mrs. Rogerson.,mrs rogerson,False,,White,Female
981,10,Collin Minihan and Stuart Ortiz,the Vicious Brothers,vicious brothers,False,,Unlisted,Unlisted
981,11,Dalila Bela,Kaitlin,kaitlin,False,,Unlisted,Unlisted
981,12,Christopher Paul Hill,Vlogger,vlogger,False,,Unlisted,Unlisted
981,13,Roy Campsall,the emaciated demon.,emaciated demon,False,,Unlisted,Unlisted
981,14,Melissa Valvok and Brenda Anderson,nurse demons.,nurse demons,False,,Unlisted,Unlisted
981,15,Dale Hall,,,False,,White,Male
981,16,Maddox Valvok,,,False,,Unlisted,Unlisted
981,17,Merwin Mondesir,Merwin Mondesir,merwin mondesir,False,,Unlisted,Unlisted
981,18,Mackenzie Gray,Mackenzie Gray,mackenzie gray,False,,White,Female
981,19,Juan Riedinger,Juan Riedinger,juan riedinger,False,,White,Male
981,20,Ashleigh Gryzcko,Ashleigh Gryzcko,ashleigh gryzcko,False,,Unlisted,Unlisted
981,21,Reese Alexander and Meeshelle Neal,Los Angeles police officers.,los angeles police officers,False,,Unlisted,Unlisted
197,0,James Franciscus,Peter Benton,peter benton,,http://www.nndb.com/people/410/000092134/,White,Male
197,1,Vic Morrow,Ron Hamer,ron hamer,,http://www.nndb.com/people/110/000043978/,White,Male
197,2,Micaela Pignatelli,Gloria Benton,gloria benton,,,Unlisted,Unlisted
197,3,Joshua Sinclair,Governor William Wells,governor william wells,,,Unlisted,Unlisted
197,4,Giancarlo Prete,Bob Martin,bob martin,,,Unlisted,Unlisted
197,5,Stefania Girolami Goodwin,Jenny Benton,jenny benton,,,Unlisted,Unlisted
268,0,Zach Galligan,William,william,,http://www.nndb.com/people/178/000090905/,White,Male
268,1,Phoebe Cates,Kate Beringer,kate beringer,,http://www.nndb.com/people/550/000023481/,Multiracial,Female
268,2,Hoyt Axton,Randall Peltzer,randall peltzer,,http://www.nndb.com/people/249/000030159/,White,Male
268,3,Frances Lee McCain,Lynn Peltzer,lynn peltzer,,,Unlisted,Unlisted
268,4,Dick Miller,Murray Futterman,murray futterman,,http://www.nndb.com/people/840/000161357/,White,Male
268,5,Jackie Joseph,Sheila Futterman,sheila futterman,,http://www.nndb.com/people/344/000353282/,White,Female
268,6,Glynn Turman,Mr. Roy Hanson,mr roy hanson,,http://www.nndb.com/people/172/000131776/,Black,Male
268,7,Polly Holliday,Mrs. Deagle,mrs deagle,,http://www.nndb.com/people/985/000023916/,White,Female
268,8,Corey Feldman,Pete Fountain,pete fountain,,http://www.nndb.com/people/908/000022842/,White,Male
268,9,Howie Mandel,the voice of Gizmo,voice of gizmo,,http://www.nndb.com/people/442/000025367/,White,Male
268,10,Frank Welker,the voice of Stripe,voice of stripe,,http://www.nndb.com/people/149/000130756/,White,Male
268,11,Mushroom,Barney,barney,,,Unlisted,Unlisted
434,0,Zach Galligan,Billy Peltzer,billy peltzer,,http://www.nndb.com/people/178/000090905/,White,Male
