Movie Index,Title,Year,Plot,Director(s),Star(s)
3717,George's Intervention,2009,"George's friends have all gathered for an intervention... George's intervention. You see, George is a zombie and George's friends are attempting to convince George to stop eating people and...                See full summary »",J.T. Seaton,"Peter Stickles, Michelle Tomlinson, Lynn Lowry, Carlos Larkin"
3718,Uncharted,2009,"""Uncharted"" is a story of a documentary film crew who crash on an island, when they were in hopes of finding a rare animal, a jaguar, that is believed to inhabit the jungle. Laine Wells, an...                See full summary »",Frank Nunez,"Demetrius Navarro, Shana Montanez, Carlos Meza, John Hillard"
3719,Albino Farm,2009,"College students exploring the Ozark Mountains for a school assignment, stumble upon a group of scary, redneck cave-dwellers.",Joe Anderson,"Tammin Sursok, Chris Jericho, Richard Christy, Duane Whitaker"
3720,Survival of the Dead,2009,"On an island off the coast of North America, local residents simultaneously fight a zombie epidemic while hoping for a cure to return their un-dead relatives back to their human state.",George A. Romero,"Alan Van Sprang, Kenneth Welsh, Kathleen Munroe, Joshua Peace"
3721,Sorority Row,2009,"A group of sorority sisters try to cover up the death of their house-sister after a prank gone wrong, only to be stalked by a serial killer.",Stewart Hendler,"Briana Evigan, Rumer Willis, Carrie Fisher, Teri Andrez"
3722,Jennifer's Body,2009,A newly possessed high school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,Karyn Kusama,"Megan Fox, Amanda Seyfried, Adam Brody, Johnny Simmons"
3723,Berdella,2009,"Bob Berdella who originated from Ohio, moved to Kansas City in the 1960s to enroll at the KC Art Institute. Shortly after his move to Kansas City, Berdella purchased a house on 4315 ...                See full summary »","William Taft, Paul South","Seth Correa, Steve Williams, Marc Saleme, Vito Spino"
3724,Soul Fire Rising,2009,"Takes us on a journey between heaven and hell, where Demons and Wingers fight for human souls in the ultimate battle for Supremacy.","John P. Aguirre, Dale Fabrigar","Jodi Lyn O'Keefe, Kelly Stables, Ashton Blanchard, Aimee-Lynn Chadwick"
3725,Daybreakers,2009,"In the year 2019, a plague has transformed almost every human into vampires. Faced with a dwindling blood supply, the fractured dominant race plots their survival; meanwhile, a researcher works with a covert band of vamps on a way to save humankind.","Peter Spierig, Michael Spierig","Ethan Hawke, Willem Dafoe, Sam Neill, Harriet Minto-Day"
3726,Cabras,2009,"Twenty bands unite from around the world for one film. Twenty months of filming, struggles and peace. Twenty visions one director.",Fredy Polania,"Adi, Percy Alexander, Marek Ameriks, Tom Andrews"
3727,La Femme Vampir,2009,Add a Plot,Alexander Alcarese,"Joe Estevez, Anita Showalter, Nic Tiemens, DeWayne Warren"
3728,Trash Humpers,2009,"Follows the lives of a small group of sociopathic elderly people in Nashville, Tennessee.",Harmony Korine,"Rachel Korine, Brian Kotzur, Travis Nicholson, Harmony Korine"
3729,Maskhead,2009,Add a Plot,"Fred Vogel, Rebecca Swan","Shelby Lyn Vogel, Danielle Inks, Daniel V. Klein, Michael Witherel"
3730,Bounty,2009,"A trio of bounty hunters in search of a fugitive find something more horrifying than they can imagine. ""Dog The Bounty Hunter meets Invasion of the Body Snatchers"" says Terrorhook. ""Very ...                See full summary »",Kevin Kangas,"Tom Proctor, Neil Conway, John Rutland, Demetrius Parker"
3731,Blood Creek,2009,A man and his brother on a mission of revenge become trapped in a harrowing occult experiment dating back to the Third Reich.,Joel Schumacher,"Henry Cavill, Dominic Purcell, Emma Booth, Michael Fassbender"
3732,Lynch Mob,2009,"The rural town of Lynchburg, Georgia holds a dark secret. A century old curse has condemned the citizens to a diet of human flesh. Unable to leave the city limits the town folks must lure ...                See full summary »",Byron Conrad Erwin,"Tony Darrow, John J. Cornetta, Michael H. Cole, Paul Borghese"
3733,VAmL,2009,"After being bitten by a Vampire during a one night stand, Annie and her friend Gina are forced to survive in a world of Vampires, Witches, Demons... And the occasional Ax Murderer.",J. Poisson,"Crystal Souza, Somaly Oum, Brian Lopes, Amy Webster Thompson"
3734,Zombieland,2009,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",Ruben Fleischer,"Jesse Eisenberg, Emma Stone, Woody Harrelson, Abigail Breslin"
3735,Pandorum,2009,"Two crew members of a spaceship wake up from hypersleep to discover that all their colleagues are missing. Despite this, it appears that they are not alone.",Christian Alvart,"Dennis Quaid, Ben Foster, Cam Gigandet, Antje Traue"
3736,My Stuffed Animal Is a Monster,2009,The murder scene - a gruesome dismemberment by use of steel table fan complete with a set of tiny bloody footprints. The detectives - hard-nosed Detective Davis and his dry-humored partner ...                See full summary »,Joe Fiorello,"Sara Mayer-Fried, Mark Dunn, Kate Holland, Amanda Jones"
3737,Don't Look Up,2009,Evil spirits released from old celluloid cause a film crew to slowly go insane while in production on a new project.,Fruit Chan,"Rachael Murphy, Eli Roth, Ben DiGregorio, Reshad Strik"
3738,Final Curtain: Part 10 - The Terror Lives On,2009,"Ethan Carver lives on. He is hiding out in the woods at Emerald Lake, watching silently as a group of campers spends a carefree weekend. One by one, Ethan stalks and kills them. With no ...                See full summary »",Mike Goodreau,"Tony Colton, Michelle DiBernardo, Chris Dunshee, Mike Edwards"
3739,In a Spiral State,2009,"In the city of Los Angeles, millions of lives intersect everyday, but each individual is still isolated from the whole. A number of strange incidents occur to four men and four women, just ...                See full summary »",Ramzi Abed,"Ofri Fuchs, Adam Meir, Juliana Fine, Jed Rowen"
3740,The Shortcut,2009,Two brothers come upon a rarely used shortcut in their new town.,Nicholaus Goossen,"Katrina Bowden, Jeremy Bastian, Cavan Cunningham, William B. Davis"
3741,The Hayden Family Murders,2009,Add a Plot,Anthony Spadaccini,"Devin Kates, Mark Cray, Erica Soto, Tom Allen"
3742,House of Flesh Mannequins,2009,A loner artist with a history of abuse meets a beautiful woman who takes an interest in his life and work; leading to a chilling path of tragedy.,Domiziano Cristopharo,"Domiziano Arcangeli, Irena Violette, Giovanni Lombardo Radice, Roberta Gemma"
3743,House of the Wolf Man,2009,Five strangers are invited to a castle under the pretense that one may inherit it. Little do they know what dangers await at the House of the Wolfman.,Eben McGarr,"Dustin Fitzsimons, Jeremie Loncka, Sara Raftery, Rodes Phire"
3744,13 Days of the Beast,2009,"Let us delve into the life of a frightened man. Meet Travis Tarplin, a young man without a path in his dull, predictable life. That is, until he finds a mysterious suitcase on his doorstep....                See full summary »",Brian Lupo,"Timothy Huston, Riana Fisher, Jennifer Cione, Karen Rueb"
3745,Late Fee,2009,A young couple's quest to rent the scariest movies on Halloween results in a real life horror show they may not live to regret.,"Carl Morano, John Carchietta","J.D. Brown, Stephanie Danielson, Rick Poli, Chris Cusano"
3746,Hillbilly Bob Zombie,2009,Hillbilly Bob makes a batch of moonshine for a family reunion party. But his shine is contaminated and turns those who drink it into zombies. Laughter ensues as Bob tries to prevent them ...                See full summary »,Ray Basham,"Sal Lizard, Brenna Roth, Danielle Webster, Chris Burdulis"
3747,Red Hook,2009,Agoraphobic freshman in New York City must join a scavenger hunt to save her boyfriend from a murderous gamemaster.,Elizabeth Lucas,"Terrence Mann, Christina Brucato, Tate Ellington, Alex Brightman"
3748,The Last Lovecraft: Relic of Cthulhu,2009,"Jeff is an ordinary guy that is stuck at a dead end job with a boring life, but when a strange old man gives him an Ancient relic and tells him that he is the last bloodline of H.P. ...                See full summary »",Henry Saine,"Kyle Davis, Devin McGinn, Matt Bauer, Honor Bliss"
3749,Evil Angel,2009,"When the young woman Emma Carillo is stabbed five times, paramedic Marcus Galan feels a great empathy for her and unsuccessfully tries to save her life in the Mercy Hospital. Meanwhile the ...                See full summary »",Richard Dutcher,"Ving Rhames, Ava Gaudet, Kristopher Shepard, Richard Dutcher"
3750,Sutures,2009,"A group of longtime friends converge on a fatal course with destiny when they cross paths with Alexander Tatum, a mercenary surgeon. He is a hunter with the keen skill of one who has also ...                See full summary »",Tammi Sutton,"Andrew Prine, Jason London, Carlos Lauchu, Allison Lange"
3751,Drive-In Horrorshow,2009,"Do you like blood; gore? Are you into cutting; slashing? Is cannibalism more your speed? Or maybe monsters; evil children get you going? Whatever your ghoulish pleasure, we have a tale for ...                See full summary »",Michael Neel,"Luis Negrón, Cyce Sadsad, Joe Lemieux, Bill Gage"
3752,Deadline,2009,"A screenwriter travels to an abandoned house to finish a script on time, but a series of strange events lead her to a psychological breakdown.",Sean McConville,"Brittany Murphy, Thora Birch, Tammy Blanchard, Marc Blucas"
3753,Necromentia,2009,Explores the use of a tattooed Ouija Board through the lives and perspectives of 4 people.,Pearry Reginald Teo,"Layton Matthews, Chad Grimes, Santiago Craig, Zelieann Rivera"
3754,Splice,2009,Genetic engineers Clive Nicoli and Elsa Kast hope to achieve fame by successfully splicing together the DNA of different animals to create new hybrid animals for medical use.,Vincenzo Natali,"Adrien Brody, Sarah Polley, Delphine Chanéac, Brandon McGibbon"
3755,The Hiding,2009,"When tragedy strikes a family on the verge of a new beginning, they are forced to face the demons of their past in order to still have a chance at a future.",Ramon Hamilton,"Cassidy Brown, Maya Dunbar, Benjamin Lee Estavan, Ramon Hamilton"
3756,Assault of the Sasquatch,2009,"When a merciless bear poacher is caught and arrested deep in the woods of a state park, he and his truck are taken to a neglected precinct in the heart of a dying city. Unbeknownst to the ...                See full summary »",Andrew Gernhard,"Kevin Shea, Greg Nutcher, Sarah J. Ahearn, Cristina Santiago"
3757,Eyes of the Woods,2009,A group of teens find themselves lost and soon hunted by an unforgiving creature deep with the woods.,"F. Miguel Valenti, Darrin Reed, Mark Villalobos","Walter Phelan, Elizabeth O'Brick, Lira Kellerman, Johnny Moreno"
3758,Frank Edge Jr,2009,Add a Plot,"F. Miguel Valenti, Darrin Reed, Mark Villalobos",
3759,Blood Night: The Legend of Mary Hatchet,2009,A group of teenagers celebrating the anniversary of the death of a local axe murderer suddenly find themselves face to face with the realities of this haunting urban legend.,Frank Sabatella,"Bill Moseley, Danielle Harris, Nate Dushku, Samantha Siong"
3760,Dark Moon Rising,2009,"Small-town girl meets mysterious drifter boy, they fall in love. Only in this case, the boy brings with him a family curse and unimaginable horror that rains hell upon the small town.",Dana Mennie,"Max Ryan, Maria Conchita Alonso, Chris Mulkey, Chris Divecchio"
