Horror Wiki Index,char index,Stripped Title,Year,character
572,0,children of corn v fields of terror,1998,Husband
572,1,children of corn v fields of terror,1998,Wife
572,2,children of corn v fields of terror,1998,Charlotte
572,3,children of corn v fields of terror,1998,Lazlo
572,4,children of corn v fields of terror,1998,Kir
572,5,children of corn v fields of terror,1998,Fireman #1 and #2
572,6,children of corn v fields of terror,1998,Luke Enright
572,7,children of corn v fields of terror,1998,Sheriff Skaggs
572,8,children of corn v fields of terror,1998,Deputy Earl
572,9,children of corn v fields of terror,1998,Cult member
572,10,children of corn v fields of terror,1998,Cult member
572,11,children of corn v fields of terror,1998,Jacob
572,12,children of corn v fields of terror,1998,Tyrus
572,13,children of corn v fields of terror,1998,Zane
572,14,children of corn v fields of terror,1998,Cult member
572,15,children of corn v fields of terror,1998,Greg
572,16,children of corn v fields of terror,1998,Cult member
572,17,children of corn v fields of terror,1998,Ezeekial
155,0,christmas evil,1980,Charles
155,1,christmas evil,1980,Binky
155,2,christmas evil,1980,Peter
155,3,christmas evil,1980,Frank Stoller
711,0,cry wolf,2005,Becky
711,1,cry wolf,2005,Mercedes
711,2,cry wolf,2005,Randall
711,3,cry wolf,2005,Lewis
711,4,cry wolf,2005,Dodger Allen
711,5,cry wolf,2005,Rich Walker
716,0,descent,2005,Paul
716,1,descent,2005,Jessica
716,2,descent,2005,Holly
716,3,descent,2005,Male Crawler
716,4,descent,2005,Beth
716,5,descent,2005,Male Crawler
716,6,descent,2005,Male Crawler
716,7,descent,2005,Female Crawler
716,8,descent,2005,Male Crawler
716,9,descent,2005,Male Crawler
716,10,descent,2005,Sam
716,11,descent,2005,Rebecca
716,12,descent,2005,Male Crawler
716,13,descent,2005,Male Crawler
716,14,descent,2005,Male Crawler
716,15,descent,2005,Male Crawler
958,0,divide,2011,Armed Soldier
958,1,divide,2011,Armed Soldier
958,2,divide,2011,Armed Soldier
958,3,divide,2011,Armed Soldier
958,4,divide,2011,Armed Soldier
958,5,divide,2011,Devlin
958,6,divide,2011,Marilyn
958,7,divide,2011,Adrien
958,8,divide,2011,Bobby
958,9,divide,2011,Josh
958,10,divide,2011,Sam
958,11,divide,2011,Mickey
754,0,doodeind,2006,Tim
754,1,doodeind,2006,Joline
754,2,doodeind,2006,Laura
754,3,doodeind,2006,Ben
754,4,doodeind,2006,Sidney
754,5,doodeind,2006,Barbara
754,6,doodeind,2006,Chris
1023,0,evil dead,2013,Teenager
1023,1,evil dead,2013,Olivia
1023,2,evil dead,2013,Mrs Allen
1023,3,evil dead,2013,Mia's GrandFather
1023,4,evil dead,2013,Demon Olivia
1023,5,evil dead,2013,Natalie
1023,6,evil dead,2013,Eric
1023,7,evil dead,2013,David Allen
1023,8,evil dead,2013,Mia Allen
1023,9,evil dead,2013,Demon Mia Allen
334,0,evil dead ii,1987,Linda
334,1,evil dead ii,1987,Demon Linda
334,2,evil dead ii,1987,Ed
334,3,evil dead ii,1987,Demon Ed
334,4,evil dead ii,1987,Bobby Jo
334,5,evil dead ii,1987,Jake
334,6,evil dead ii,1987,Demon Henrietta
334,7,evil dead ii,1987,Annie
334,8,evil dead ii,1987,Winged Demon
672,0,freddy vs jason,2003,Little Girl
672,1,freddy vs jason,2003,Heather
672,2,freddy vs jason,2003,Dead Boy On Tree
672,3,freddy vs jason,2003,Dead Girl On Tree
672,4,freddy vs jason,2003,Trey Adam Gordon Cooper
672,5,freddy vs jason,2003,Mr. Mueller
672,6,freddy vs jason,2003,Blake Mueller
672,7,freddy vs jason,2003,Gibb Smith
672,8,freddy vs jason,2003,Frisell
672,9,freddy vs jason,2003,Unnamed Teammate
672,10,freddy vs jason,2003,Shack
672,11,freddy vs jason,2003,Raver 1/2/3
672,12,freddy vs jason,2003,Raver 4
672,13,freddy vs jason,2003,Raver 5
672,14,freddy vs jason,2003,Raver 6
672,15,freddy vs jason,2003,Bobby Davis
672,16,freddy vs jason,2003,Mark Davis
672,17,freddy vs jason,2003,Security Guard
672,18,freddy vs jason,2003,Deputy Scott Stubbs
672,19,freddy vs jason,2003,Bill Freeburg
672,20,freddy vs jason,2003,Mrs. Campbell
672,21,freddy vs jason,2003,Charlie Linderman
672,22,freddy vs jason,2003,Kia Waterson
672,23,freddy vs jason,2003,"Fredrick Charles ""Freddy"" Krueger"
463,0,freddys dead final nightmare,1991,Carlos Rodriguez
463,1,freddys dead final nightmare,1991,Spencer Lewis
463,2,freddys dead final nightmare,1991,John Doe
463,3,freddys dead final nightmare,1991,Mr. Underwood
463,4,freddys dead final nightmare,1991,Loretta Krueger
463,5,freddys dead final nightmare,1991,"Frederick Charles ""Freddy"" Krueger"
882,0,friday 13th,2009,Pamela Voorhees
882,1,friday 13th,2009,Wade
882,2,friday 13th,2009,Amanda
882,3,friday 13th,2009,Mike
882,4,friday 13th,2009,Richie
882,5,friday 13th,2009,Donnie
882,6,friday 13th,2009,Nolan
882,7,friday 13th,2009,Chelsea
882,8,friday 13th,2009,Chewie
882,9,friday 13th,2009,Lawrence
882,10,friday 13th,2009,Bree
882,11,friday 13th,2009,Officer bracke
882,12,friday 13th,2009,Trent
882,13,friday 13th,2009,Jenna
164,0,friday 13th,1980,Barry
164,1,friday 13th,1980,Claudette
164,2,friday 13th,1980,Annie
164,3,friday 13th,1980,Ned
164,4,friday 13th,1980,Jack
164,5,friday 13th,1980,Marcie Stanler
164,6,friday 13th,1980,Steve Christy
164,7,friday 13th,1980,Brenda
164,8,friday 13th,1980,Bill
164,9,friday 13th,1980,Mrs. Voorhees
282,0,friday 13th a new beginning,1985,Neil
282,1,friday 13th a new beginning,1985,Les
282,2,friday 13th a new beginning,1985,Joey Burns
282,3,friday 13th a new beginning,1985,Mrs Burns
282,4,friday 13th a new beginning,1985,Vinnie
282,5,friday 13th a new beginning,1985,Pete
282,6,friday 13th a new beginning,1985,Billy
282,7,friday 13th a new beginning,1985,Lana
282,8,friday 13th a new beginning,1985,Raymond
282,9,friday 13th a new beginning,1985,Tina
282,10,friday 13th a new beginning,1985,Eddie
282,11,friday 13th a new beginning,1985,Anita
282,12,friday 13th a new beginning,1985,Demon
282,13,friday 13th a new beginning,1985,Junior Hubbard
282,14,friday 13th a new beginning,1985,Ethel Hubbard
282,15,friday 13th a new beginning,1985,Jake
282,16,friday 13th a new beginning,1985,Robin
282,17,friday 13th a new beginning,1985,Violet
282,18,friday 13th a new beginning,1985,Duke Johnson
282,19,friday 13th a new beginning,1985,Dr. Matthew Letter
282,20,friday 13th a new beginning,1985,George
282,21,friday 13th a new beginning,1985,Roy Burns
282,22,friday 13th a new beginning,1985,Pam Roberts
282,23,friday 13th a new beginning,1985,Pam Roberts
282,24,friday 13th a new beginning,1985,Mrs Roberts
282,25,friday 13th a new beginning,1985,Mr Roberts
282,26,friday 13th a new beginning,1985,Reggie Winter
282,27,friday 13th a new beginning,1985,Mrs Winter
267,0,friday 13th final chapter,1984,Coroner Axel Burns
267,1,friday 13th final chapter,1984,"Nurse Roberta ""Robbie"" Morgan"
267,2,friday 13th final chapter,1984,Unnamed Female Hitchhiker
267,3,friday 13th final chapter,1984,Samantha Lane
267,4,friday 13th final chapter,1984,Paul Guthrie
267,5,friday 13th final chapter,1984,"Terri ""Teresa"" Moore"
267,6,friday 13th final chapter,1984,Mrs. Tracy Jarvis
267,7,friday 13th final chapter,1984,"James ""Jimmy"" Mortimer"
267,8,friday 13th final chapter,1984,Tina Moore
267,9,friday 13th final chapter,1984,Ted Cooper
267,10,friday 13th final chapter,1984,"Douglas ""Doug"" Bell"
267,11,friday 13th final chapter,1984,Sara
267,12,friday 13th final chapter,1984,"Rob ""Robert"" Dier"
267,13,friday 13th final chapter,1984,Jason Voorhees
192,0,friday 13th part 2,1981,Alice Hardy
192,1,friday 13th part 2,1981,Crazy Ralph
192,2,friday 13th part 2,1981,Deputy Winslow
192,3,friday 13th part 2,1981,Scott
192,4,friday 13th part 2,1981,Terry
192,5,friday 13th part 2,1981,Mark
192,6,friday 13th part 2,1981,"Jeff, Sandra Dier"
192,7,friday 13th part 2,1981,Vickie
192,8,friday 13th part 2,1981,Paul Holt
226,0,friday 13th part iii,1982,Harold Hockett
226,1,friday 13th part iii,1982,Edna Hockett
226,2,friday 13th part iii,1982,Fox
226,3,friday 13th part iii,1982,Loco
226,4,friday 13th part iii,1982,Vera Sanchez
