Horror Wiki Index,Title,Year,Horror Wiki URL
330,Blue Monkey (1987),1987,/wiki/Blue_Monkey_(1987)
331,Creepozoids,1987,/wiki/Creepozoids
332,Creepshow 2 (1987),1987,/wiki/Creepshow_2_(1987)
333,Dolls,1987,/wiki/Dolls
334,Evil Dead II,1987,/wiki/Evil_Dead_II
335,The Falling,1987,/wiki/The_Falling
336,Ghoulies II,1987,/wiki/Ghoulies_II
337,Hellraiser (1987),1987,/wiki/Hellraiser_(1987)
338,House II: The Second Story,1987,/wiki/House_II:_The_Second_Story
339,Howling III: The Marsupials,1987,/wiki/Howling_III:_The_Marsupials
340,Jaws: The Revenge,1987,/wiki/Jaws:_The_Revenge
341,The Lost Boys,1987,/wiki/The_Lost_Boys
342,The Monster Squad,1987,/wiki/The_Monster_Squad
343,Munchies,1987,/wiki/Munchies
344,Opera,1987,/wiki/Opera
345,Predator (1987),1987,/wiki/Predator_(1987)
346,Prince of Darkness (1987),1987,/wiki/Prince_of_Darkness_(1987)
347,Hello Mary Lou: Prom Night II,1987,/wiki/Hello_Mary_Lou:_Prom_Night_II
348,Reflections,1987,/wiki/Reflections
349,Rock 'n' Roll Nightmare,1987,/wiki/Rock_%27n%27_Roll_Nightmare
350,"Silent Night, Deadly Night Part 2",1987,"/wiki/Silent_Night,_Deadly_Night_Part_2"
351,Stage Fright (1987),1987,/wiki/Stage_Fright_(1987)
352,The Stepfather (1987),1987,/wiki/The_Stepfather_(1987)
353,Street Trash,1987,/wiki/Street_Trash
354,Terror Night,1987,/wiki/Terror_Night
355,The Curse,1987,/wiki/The_Curse
356,The Gate,1987,/wiki/The_Gate
357,The Hidden,1987,/wiki/The_Hidden
358,Until Death,1987,/wiki/Until_Death
359,555 (1988),1988,/wiki/555_(1988)
360,Beetlejuice (1988),1988,/wiki/Beetlejuice_(1988)
361,The Blob (1988),1988,/wiki/The_Blob_(1988)
362,Brain Damage (1988),1988,/wiki/Brain_Damage_(1988)
363,Cellar Dweller (1988),1988,/wiki/Cellar_Dweller_(1988)
364,Child's Play (1988),1988,/wiki/Child%27s_Play_(1988)
365,Critters 2: The Main Course (1988),1988,/wiki/Critters_2:_The_Main_Course_(1988)
366,Dead Heat,1988,/wiki/Dead_Heat
367,Dead Ringers (1988),1988,/wiki/Dead_Ringers_(1988)
368,Demon City Shinjuku,1988,/wiki/Demon_City_Shinjuku
369,Demonwarp,1988,/wiki/Demonwarp
370,Don't Panic,1988,/wiki/Don%27t_Panic
371,Evil Dead Trap,1988,/wiki/Evil_Dead_Trap
372,Friday the 13th Part VII: The New Blood,1988,/wiki/Friday_the_13th_Part_VII:_The_New_Blood
373,Fright Night: Part II,1988,/wiki/Fright_Night:_Part_II
374,Halloween 4: The Return of Michael Myers,1988,/wiki/Halloween_4:_The_Return_of_Michael_Myers
375,Hellbound: Hellraiser II (1988),1988,/wiki/Hellbound:_Hellraiser_II_(1988)
376,Howling IV: The Original Nightmare,1988,/wiki/Howling_IV:_The_Original_Nightmare
377,Iced,1988,/wiki/Iced
378,Killer Klowns from Outer Space (1988),1988,/wiki/Killer_Klowns_from_Outer_Space_(1988)
379,Killing Birds,1988,/wiki/Killing_Birds
380,Maniac Cop,1988,/wiki/Maniac_Cop
381,Monkey Shines,1988,/wiki/Monkey_Shines
382,Night of the Demons,1988,/wiki/Night_of_the_Demons
383,A Nightmare on Elm Street 4: The Dream Master,1988,/wiki/A_Nightmare_on_Elm_Street_4:_The_Dream_Master
384,Poltergeist III,1988,/wiki/Poltergeist_III
385,Pumpkinhead (film),1988,/wiki/Pumpkinhead_(film)
386,Ratman,1988,/wiki/Ratman
387,Scarecrows,1988,/wiki/Scarecrows
388,Sleepaway Camp II: Unhappy Campers,1988,/wiki/Sleepaway_Camp_II:_Unhappy_Campers
