Horror Wiki Index,char index,actor,character
708,9,Brendan Fletcher,Cab Driver
219,0,Jack Palance,Frank Hawkes
219,1,Donald Pleasence,Dr. Leo Bain
219,2,Martin Landau,Byron 'Preacher' Sutcliff
219,3,Dwight Schultz,Dr. Dan Potter
219,4,Erland van Lidth,Ronald 'Fatty' Elster
219,5,Deborah Hedwall,Nell Potter
219,6,Lee Taylor-Allan,Toni Potter
219,7,Phillip Clark,Tom Smith
219,8,Elizabeth Ward,Lyla Potter
219,9,Brent Jennings,Ray Curtis
833,0,Rick Yune,Edward Carnby
833,1,Rachel Specter,Natalie
833,2,Lance Henriksen,Abner Lundberg
833,3,Bill Moseley,Dexter
833,4,Ralf Möller,Boyle
833,5,Danny Trejo,Perry
833,6,Zack Ward,Xavier
746,0,Paul McCarthy-Boyington,Cody
746,1,Brad William Henke,Duke
746,2,Michael C. Williams,Otis
746,3,Adam Kaufman,Wyatt
746,4,Catherine Mangan,Hope
746,5,James Gammon,Sheriff Tom Herderson
746,6,Joe Unger,Mr. Towne
148,0,William Hurt,"Dr. Edward ""Eddie"" Jessup"
148,1,Blair Brown,Emily Jessup
148,2,Bob Balaban,Arthur Rosenberg
148,3,Charles Haid,Mason Parrish
148,4,Thaao Penghlis,Eduardo Echeverria
148,5,Drew Barrymore,Margaret Jessup
148,6,Megan Jeffers,Grace Jessup
148,7,Dori Brenner,Sylvia Rosenberg
148,8,Peter Brandon,Alan Hobart
148,9,George Gaynes,Dr. Wissenschaft
148,10,Jack Murdock,Hector Orteco
148,11,John Larroquette,X-ray technician
1013,0,Jade Dornfeld,Alyce
1013,1,Tamara Feldman,Carroll
1013,2,James Duval,Vince
1013,3,Eddie Rouse,Rex
1013,4,Larry Cedar,Harold
1013,5,Yorgo Constantine,Warner
1013,6,Megan Gallagher,Ginny
1013,7,Rena Owen,Danielle
1013,8,Tracey Walter,Landlord
1013,9,Bret Roberts,Mike
1013,10,Max E. Williams,Kurt
1013,11,Whitney Anderson,Renee
