Death List Index,Title,Death List URL,Stripped Title,Year
213,Easter Casket,/wiki/Easter_Casket,easter casket,
214,Edge of the Axe,/wiki/Edge_of_the_Axe,edge of axe,
215,Eight Legged Freaks,/wiki/Eight_Legged_Freaks,eight legged freaks,
216,Eraserhead,/wiki/Eraserhead,eraserhead,
217,Ernest Scared Stupid,/wiki/Ernest_Scared_Stupid,ernest scared stupid,
218,Event Horizon,/wiki/Event_Horizon,event horizon,
219,Evil Bong,/wiki/Evil_Bong,evil bong,
221,Evil Dead (2013),/wiki/Evil_Dead_(2013),evil dead,2013
220,Evil Dead,/wiki/Evil_Dead,evil dead,
996,The Evil Dead (Film Series),/wiki/The_Evil_Dead_(Film_Series),evil dead film series,
652,The Evil Dead (Film Series),/wiki/The_Evil_Dead_(Film_Series),evil dead film series,
222,Evil Dead Trap,/wiki/Evil_Dead_Trap,evil dead trap,
223,Evil Ed,/wiki/Evil_Ed,evil ed,
997,The Execution of Mary Stuart,/wiki/The_Execution_of_Mary_Stuart,execution of mary stuart,
653,The Execution of Mary Stuart,/wiki/The_Execution_of_Mary_Stuart,execution of mary stuart,
654,The Exorcist,/wiki/The_Exorcist,exorcist,
998,The Exorcist,/wiki/The_Exorcist,exorcist,
655,The Experiment,/wiki/The_Experiment,experiment,
999,The Experiment,/wiki/The_Experiment,experiment,
224,Extracurricular,/wiki/Extracurricular,extracurricular,
225,Faeriefamiliarfilms's Friday the 13th,/wiki/Faeriefamiliarfilms%27s_Friday_the_13th,faeriefamiliarfilmss friday 13th,
226,Famine,/wiki/Famine,famine,
227,Fantasy Island,/wiki/Fantasy_Island,fantasy island,
228,Fatal Games,/wiki/Fatal_Games,fatal games,
229,Fear The Walking Dead,/wiki/Fear_The_Walking_Dead,fear walking dead,
230,Feardotcom,/wiki/Feardotcom,feardotcom,
231,Fiend Without a Face,/wiki/Fiend_Without_a_Face,fiend without a face,
233,Final Destination,/wiki/Final_Destination,final destination,
234,Final Exam,/wiki/Final_Exam,final exam,
235,Fire and Ice,/wiki/Fire_and_Ice,fire and ice,
236,Firefly Trilogy (Rob Zombie),/wiki/Firefly_Trilogy_(Rob_Zombie),firefly trilogy rob zombie,
1000,The First Power,/wiki/The_First_Power,first power,
656,The First Power,/wiki/The_First_Power,first power,
237,Fist of Jesus,/wiki/Fist_of_Jesus,fist of jesus,
238,Five Nights at Freddy's vs Freddy Krueger,/wiki/Five_Nights_at_Freddy%27s_vs_Freddy_Krueger,five nights at freddys vs freddy krueger,
239,Flight 666,/wiki/Flight_666,flight 666,
657,The Fly,/wiki/The_Fly,fly,
1001,The Fly,/wiki/The_Fly,fly,
658,The Fly (Remake Series),/wiki/The_Fly_(Remake_Series),fly remake series,
1002,The Fly (Remake Series),/wiki/The_Fly_(Remake_Series),fly remake series,
240,Flying Monkeys,/wiki/Flying_Monkeys,flying monkeys,
659,The Fog,/wiki/The_Fog,fog,
1003,The Fog,/wiki/The_Fog,fog,
241,Food of the Gods,/wiki/Food_of_the_Gods,food of gods,
660,The Forsaken,/wiki/The_Forsaken,forsaken,
242,Frailty,/wiki/Frailty,frailty,
243,Frankenhooker,/wiki/Frankenhooker,frankenhooker,
244,Frankenstein,/wiki/Frankenstein,frankenstein,
245,Frankenstein (1931),/wiki/Frankenstein_(1931),frankenstein,1931
246,Freaky,/wiki/Freaky,freaky,
247,Freddy Krueger vs Jason Voorhees Parody Animation,/wiki/Freddy_Krueger_vs_Jason_Voorhees_Parody_Animation,freddy krueger vs jason voorhees parody animation,
248,Freddy vs Jason vs Michael,/wiki/Freddy_vs_Jason_vs_Michael,freddy vs jason vs michael,
249,Frenzy,/wiki/Frenzy,frenzy,
250,Friday the 13th,/wiki/Friday_the_13th,friday 13th,
251,Friend Request,/wiki/Friend_Request,friend request,
252,Fright Night,/wiki/Fright_Night,fright night,
661,The Frighteners,/wiki/The_Frighteners,frighteners,
253,From Beyond,/wiki/From_Beyond,from beyond,
254,From Dusk Till Dawn,/wiki/From_Dusk_Till_Dawn,from dusk till dawn,
255,From Hell It Came,/wiki/From_Hell_It_Came,from hell it came,
256,Frozen (2010),/wiki/Frozen_(2010),frozen,2010
257,Fun Size Horror,/wiki/Fun_Size_Horror,fun size horror,
258,Funhouse,/wiki/Funhouse,funhouse,
662,The Funhouse,/wiki/The_Funhouse,funhouse,
259,Garden of Love,/wiki/Garden_of_Love,garden of love,
260,Garuda,/wiki/Garuda,garuda,
261,Gates of Hell Trilogy (Lucio Fulci),/wiki/Gates_of_Hell_Trilogy_(Lucio_Fulci),gates of hell trilogy lucio fulci,
262,Geoshea's Creepypastas,/wiki/Geoshea%27s_Creepypastas,geosheas creepypastas,
263,Get Out,/wiki/Get_Out,get out,
264,Ghost Burger,/wiki/Ghost_Burger,ghost burger,
265,Ghost Shark,/wiki/Ghost_Shark,ghost shark,
266,Ghost Shark 2: Urban Jaws,/wiki/Ghost_Shark_2:_Urban_Jaws,ghost shark 2 urban jaws,
267,Ghost Ship,/wiki/Ghost_Ship,ghost ship,
268,Ghostbusters,/wiki/Ghostbusters,ghostbusters,
269,Ghosthouse,/wiki/Ghosthouse,ghosthouse,
270,Ghoulies,/wiki/Ghoulies,ghoulies,
663,The Giant Spider Invasion,/wiki/The_Giant_Spider_Invasion,giant spider invasion,
664,The Gingerdead Man,/wiki/The_Gingerdead_Man,gingerdead man,
665,The Girl Next Door (2007),/wiki/The_Girl_Next_Door_(2007),girl next door,2007
271,Girls Nite Out,/wiki/Girls_Nite_Out,girls nite out,
272,Godzilla,/wiki/Godzilla,godzilla,
273,Goosebumps (Films),/wiki/Goosebumps_(Films),goosebumps films,
274,Graduation Day,/wiki/Graduation_Day,graduation day,
275,Graveyard Shift,/wiki/Graveyard_Shift,graveyard shift,
666,The Green Inferno,/wiki/The_Green_Inferno,green inferno,
276,Gremlins,/wiki/Gremlins,gremlins,
277,Gretel and Hansel,/wiki/Gretel_and_Hansel,gretel and hansel,
278,Grizzly,/wiki/Grizzly,grizzly,
279,Grotesque,/wiki/Grotesque,grotesque,
667,The Grudge,/wiki/The_Grudge,grudge,
280,Gutterballs,/wiki/Gutterballs,gutterballs,
281,Guyver,/wiki/Guyver,guyver,
282,Halloween,/wiki/Halloween,halloween,
283,Hambuster,/wiki/Hambuster,hambuster,
284,Hamlet,/wiki/Hamlet,hamlet,
668,The Hand (1981),/wiki/The_Hand_(1981),hand,1981
669,The Hand That Rocks The Cradle,/wiki/The_Hand_That_Rocks_The_Cradle,hand that rocks cradle,
285,Hannibal,/wiki/Hannibal,hannibal,
670,The Happening,/wiki/The_Happening,happening,
286,Happy Birthday To Me,/wiki/Happy_Birthday_To_Me,happy birthday to me,
287,Happy Death Day,/wiki/Happy_Death_Day,happy death day,
288,Happy Tree Friends,/wiki/Happy_Tree_Friends,happy tree friends,
289,Happy Tree Friends in K . Vinsfox,/wiki/Happy_Tree_Friends_in_K_._Vinsfox,happy tree friends in k vinsfox,
290,Happy Tree Friends in Nemao,/wiki/Happy_Tree_Friends_in_Nemao,happy tree friends in nemao,
671,The Happytime Murders,/wiki/The_Happytime_Murders,happytime murders,
291,Hatchet,/wiki/Hatchet,hatchet,
292,Haunt,/wiki/Haunt,haunt,
293,Hausu,/wiki/Hausu,hausu,
294,Hayride,/wiki/Hayride,hayride,
295,HazMat,/wiki/HazMat,hazmat,
296,He Knows You're Alone,/wiki/He_Knows_You%27re_Alone,he knows youre alone,
297,Headed Shark Attack,/wiki/Headed_Shark_Attack,headed shark attack,
298,Heebie Jeebies,/wiki/Heebie_Jeebies,heebie jeebies,
299,Hell Fest,/wiki/Hell_Fest,hell fest,
300,Hellbent,/wiki/Hellbent,hellbent,
301,Hellraiser,/wiki/Hellraiser,hellraiser,
302,Henry: Portrait of a Serial Killer,/wiki/Henry:_Portrait_of_a_Serial_Killer,henry portrait of a serial killer,
303,Hereditary,/wiki/Hereditary,hereditary,
304,Hide and Go Shriek,/wiki/Hide_and_Go_Shriek,hide and go shriek,
305,High Tension,/wiki/High_Tension,high tension,
306,Highway 91,/wiki/Highway_91,highway 91,
672,The Hills Have Eyes,/wiki/The_Hills_Have_Eyes,hills have eyes,
673,The Hills Run Red,/wiki/The_Hills_Run_Red,hills run red,
307,Hobo With A Shotgun,/wiki/Hobo_With_A_Shotgun,hobo with a shotgun,
308,Hocus Pocus,/wiki/Hocus_Pocus,hocus pocus,
674,The Hole (2001),/wiki/The_Hole_(2001),hole,2001
309,Hollow Man,/wiki/Hollow_Man,hollow man,
310,Home,/wiki/Home,home,
311,Home For The Holidays,/wiki/Home_For_The_Holidays,home for holidays,
312,Home Sweet Home,/wiki/Home_Sweet_Home,home sweet home,
313,Hostel,/wiki/Hostel,hostel,
314,Hot Wheels Attack Pack The Movie,/wiki/Hot_Wheels_Attack_Pack_The_Movie,hot wheels attack pack movie,
315,House,/wiki/House,house,
316,House (1986),/wiki/House_(1986),house,1986
