,Title,Year,Plot,Director(s),Star(s),Decade
11940,Danny Hall the Killer Crab Elf,,Danny Hall is a drunk 20 year old living at home who disrespects his mother and girlfriend. One nights he goes out with his friend to check out weird green barrels next door and soon turns into a crab killing monster that loves Christmas.,Matthew Mark Hunter,"Matthew Mark Hunter, Larry DiBartolomeo, John Catheline, Noellie Burger",0
11994,Sick Nick,,"Make no mistake about it... Sick Nick will be home for Christmas, ready to turn a white Christmas a horrifying blood red.",Israel Luna,,0
12115,Slayed,,"Five years after a Christmas Eve massacre in Harris County, AZ, when a crazed killer returns to an impending condemned water treatment plant to terrorize and kill again. Only this time, the...                See full summary »","Mike Capozzi, Jim Klock","Jim Klock, Mike Capozzi, Coel Mahal, Kyra Kennedy",0
12135,Bayou Goula,,"Two estranged sisters have visions that reveal secrets to their Mother's enigmatic death, when they return to their cursed hometown to execute her will during Christmas.",,,0
12259,"Silent Night, Bloody Night Part 3",,"Max is living a new life in Los Angeles, but during a company Christmas party, he is flooded with the grisly memories of Christmas pass. He spirals out of control, soon picking up where Black Peter left off.",Dustin Ferguson,Mary Woronov,0
12676,Claws,,"An anti-religious, nightmare ridden psychiatrist becomes obsessed with the possibility that his fear of the Christmas season may be supernaturally substantiated.",Laurence Maher,Russ Isles,0
12971,Zombie Elves,,"A timid young elf named Timo must grow a pair of balls if he wants to defeat his evil cousin, get the girl, and stop a horde of brain-hungry zombie elves from ruining Christmas forever.","Austin Smeeks, Michael Bills",,0
13208,Anti-Claus,,An evil creature known as the Krampus terrorizes naughty children during the Christmas holiday.,"Rick T. Foster, Ryan Farrell",,0
13555,The Wishbox,,"A mother finds a mysterious ornate music box for sale in an antiques store and gifts it to her son for Christmas. Soon after it appears all they are wishing for comes true, but she soon ...                See full summary »",Sam Zhang,,0
13627,Bloody Christmas LA,,Five unsuspecting strangers are are trapped in a Los Angeles jail on the anniversary of the 1951 Bloody Christmas riots. They must find a way to stop the vengeful spirits spawned at the violent event before they all die.,Christopher Thomas,,0
13694,Santa Klawn,,Santa Klawn has a very different present for the naughtiest humans on Christmas day.,Josh Welch,"Jackson Geach, Destiny Soria, Sergio Macian, Larry Lowe",0
13742,Christmas Past,,"A young American doctor grieving over the death of her fiancé, encounters a lonely, wandering ghost on Christmas Eve, and discovers that the details match an urban legend that dates back to World War II.",Raymond Mamrak,,0
14329,Rabid Christmas,,"Home for Christmas for the first time in years, former career Military Man, Lance Dodd and his family are about to experience a Rabid Christmas.","Steven Papineau, Bryan Martin","Richard Tyson, Petri Hawkins Byrd, Marcella Bragio, Nick Fenske",0
14758,Claus,,"Twas the night before Christmas, and all through the house, blood on the walls, nothing alive, not even a mouse. Limbs hanging, placed with great care, and the ones who were left feared old Santa would soon be there.",J. Spencer,,0
14866,Full Moon Christmas,,"A young elf must find his courage to save a small town, Santa and Christmas from a ravaging werewolf.",Edward Amaral,"Robert Miano, Chalet Lizette Brannan, Richard Fisher",0
15032,Gryla,,It's Christmas and Gryla is hungry.,David Prindle,,0
15086,War Monkeys,,"Two slacker janitors who get trapped in an Area 51-ish research facility during the Christmas holiday, after accidentally unleashing military-trained research monkeys.",Alberto Ivan Garcia Mendoza,,0
15590,Crèche,,"Following a botched bank robbery in the days leading up to Christmas, a pair of wanted criminals seeks refuge in a church, where they discover the new priest's sinister plans.",Lucy Luna,,0
15595,Untitled Christmas Horror Project,,Plot kept under wraps. Described as a horror story that takes place in a small town during Christmas.,Lucy Luna,,0
15639,Merry F'n Christmas,,"Being with super-human powers terrorizes Chicago at Christmas with beyond-brutal slayings as a detective tries to find a way to stop it, him...whatever.",Lawrence Whitener,Lawrence Whitener,0
