Horror Wiki Index,Title,Year,Horror Wiki URL,Stripped Title
750,Black Sheep (2007),2006,/wiki/Black_Sheep_(2007),black sheep
792,Black Water (2007),2007,/wiki/Black_Water_(2007),black water
899,The Blackout (2009),2009,/wiki/The_Blackout_(2009),blackout
19,Blacula (1972),1972,/wiki/Blacula_(1972),blacula
569,Blade (1998),1998,/wiki/Blade_(1998),blade
646,Blade II (2002),2002,/wiki/Blade_II_(2002),blade ii
1199,Blade: The Iron Cross (2019),2019,/wiki/Blade:_The_Iron_Cross_(2019),blade iron cross
686,Blade: Trinity (2004),2004,/wiki/Blade:_Trinity_(2004),blade trinity
1098,Blair Witch (2016),2016,/wiki/Blair_Witch_(2016),blair witch
586,The Blair Witch Project (1999),1999,/wiki/The_Blair_Witch_Project_(1999),blair witch project
609,Bless the Child (2000),2000,/wiki/Bless_the_Child_(2000),bless child
1238,The Blindman,2020,/wiki/The_Blindman,blindman
361,The Blob (1988),1988,/wiki/The_Blob_(1988),blob
183,Blood Beach (1981),1981,/wiki/Blood_Beach_(1981),blood beach
328,Blood Diner,1987,/wiki/Blood_Diner,blood diner
587,Blood Dolls (1999),1999,/wiki/Blood_Dolls_(1999),blood dolls
1165,Blood Fest (2018),2018,/wiki/Blood_Fest_(2018),blood fest
55,Blood for Dracula (1974),1974,/wiki/Blood_for_Dracula_(1974),blood for dracula
11,Blood from the Mummy's Tomb (1971),1971,/wiki/Blood_from_the_Mummy%27s_Tomb_(1971),blood from mummys tomb
611,Blood: The Last Vampire (2000),2000,/wiki/Blood:_The_Last_Vampire_(2000),blood last vampire
329,Blood Rage (1987),1987,/wiki/Blood_Rage_(1987),blood rage
610,Blood Surf (2000),2000,/wiki/Blood_Surf_(2000),blood surf
151,Bloodeaters (1980),1980,/wiki/Bloodeaters_(1980),bloodeaters
184,Bloody Birthday (1981),1981,/wiki/Bloody_Birthday_(1981),bloody birthday
612,Bloody Murder (2000),2000,/wiki/Bloody_Murder_(2000),bloody murder
668,Bloody Murder 2: Closing Camp (2003),2003,/wiki/Bloody_Murder_2:_Closing_Camp_(2003),bloody murder 2 closing camp
330,Blue Monkey (1987),1987,/wiki/Blue_Monkey_(1987),blue monkey
1166,Boarding School (2018),2018,/wiki/Boarding_School_(2018),boarding school
625,Bones (2001),2001,/wiki/Bones_(2001),bones
1099,Boo! A Madea Halloween (2016),2016,/wiki/Boo!_A_Madea_Halloween_(2016),boo a madea halloween
215,The Boogens,1981,/wiki/The_Boogens,boogens
152,The Boogeyman (1980),1980,/wiki/The_Boogeyman_(1980),boogeyman
709,Boogeyman (2005),2005,/wiki/Boogeyman_(2005),boogeyman
793,Boogeyman 2 (2007),2007,/wiki/Boogeyman_2_(2007),boogeyman 2
868,Boogeyman 3 (2009),2009,/wiki/Boogeyman_3_(2009),boogeyman 3
626,Boogeymen: The Killer Compilation (2001),2001,/wiki/Boogeymen:_The_Killer_Compilation_(2001),boogeymen killer compilation
613,Book of Shadows: Blair Witch 2 (2000),2000,/wiki/Book_of_Shadows:_Blair_Witch_2_(2000),book of shadows blair witch 2
1100,The Boy (2016),2016,/wiki/The_Boy_(2016),boy
1087,The Boy Next Door,2015,/wiki/The_Boy_Next_Door,boy next door
1226,Brahms: The Boy II,2020,/wiki/Brahms:_The_Boy_II,brahms boy ii
390,The Brain (1988),1988,/wiki/The_Brain_(1988),brain
362,Brain Damage (1988),1988,/wiki/Brain_Damage_(1988),brain damage
428,Brain Dead (1990),1990,/wiki/Brain_Dead_(1990),brain dead
794,Brain Dead (2007),2007,/wiki/Brain_Dead_(2007),brain dead
479,Braindead (1992),1992,/wiki/Braindead_(1992),braindead
480,Bram Stoker's Dracula (1992),1992,/wiki/Bram_Stoker%27s_Dracula_(1992),bram stokers dracula
751,The Breed (2006),2006,/wiki/The_Breed_(2006),breed
277,The Bride (1985),1985,/wiki/The_Bride_(1985),bride
570,Bride of Chucky (1998),1998,/wiki/Bride_of_Chucky_(1998),bride of chucky
1200,Brightburn,2019,/wiki/Brightburn,brightburn
135,The Brood (1979),1979,/wiki/The_Brood_(1979),brood
1007,The Brothers (2012),2012,/wiki/The_Brothers_(2012),brothers
481,Buffy the Vampire Slayer (1992),1992,/wiki/Buffy_the_Vampire_Slayer_(1992),buffy vampire slayer
71,Bug (1975),1975,/wiki/Bug_(1975),bug
185,Burial Ground (1981),1981,/wiki/Burial_Ground_(1981),burial ground
429,Buried Alive (1990),1990,/wiki/Buried_Alive_(1990),buried alive
551,Buried Alive II (1997),1997,/wiki/Buried_Alive_II_(1997),buried alive ii
186,The Burning (1981),1981,/wiki/The_Burning_(1981),burning
81,Burnt Offerings (1976),1976,/wiki/Burnt_Offerings_(1976),burnt offerings
861,The Burrowers,2008,/wiki/The_Burrowers,burrowers
1156,The Bye Bye Man,2017,/wiki/The_Bye_Bye_Man,bye bye man
263,C.H.U.D.,1984,/wiki/C.H.U.D.,c h u d
396,C.H.U.D. II: Bud the C.H.U.D.,1989,/wiki/C.H.U.D._II:_Bud_the_C.H.U.D.,c h u d ii bud c h u d
1101,Cabin Fever (2016),2016,/wiki/Cabin_Fever_(2016),cabin fever
647,Cabin Fever (2002),2002,/wiki/Cabin_Fever_(2002),cabin fever
869,Cabin Fever 2: Spring Fever (2009),2009,/wiki/Cabin_Fever_2:_Spring_Fever_(2009),cabin fever 2 spring fever
1044,Cabin Fever: Patient Zero (2014),2014,/wiki/Cabin_Fever:_Patient_Zero_(2014),cabin fever patient zero
